SEED,observed temperature,Formula
13/02/2025,28.59555396,27.01
13/03/2025,29.90232667,27.19
13/04/2025,27.52966688,27.4
13/05/2025,26.80693813,26.89
13/06/2025,20.2727725,28.02
14/02/2025,28.02062167,28.31
14/03/2025,29.85003,29.06
14/04/2025,27.57454813,28.81
14/05/2025,26.86507563,29.04
14/06/2025,19.99602083,28.19
15/02/2025,28.63702938,28.54
15/03/2025,29.57459688,28.38
15/04/2025,27.30870563,28.24
15/05/2025,26.10073875,27.47
15/06/2025,19.51632229,28.26
16/02/2025,29.13079104,28.42
16/03/2025,29.72355771,27.47
16/04/2025,26.93979688,28.14
16/05/2025,25.24722,29.26
16/06/2025,20.2424125,28.67
17/02/2025,29.63635396,29.24
17/03/2025,29.79895354,29.36
17/04/2025,26.69863813,28.56
17/05/2025,24.35477917,28.74
17/06/2025,20.54725313,29.76
18/02/2025,30.45446958,29.53
18/03/2025,30.13021833,29.55
18/04/2025,26.47922042,28.08
18/05/2025,23.82263354,28.34
18/06/2025,20.44518917,27.95
19/02/2025,31.18377063,27.9
19/03/2025,30.65864458,28.34
19/04/2025,26.80030354,28.14
19/05/2025,23.17568229,28.31
19/06/2025,21.11357021,28.94
20/02/2025,31.83990208,28.35
20/03/2025,30.114865,27.49
20/04/2025,27.29355042,28.81
20/05/2025,23.36723875,28.27
20/06/2025,21.01181604,28.34
21/02/2025,31.38826813,27.47
21/03/2025,29.39980417,27.7
21/04/2025,27.12056729,29.08
21/05/2025,23.59754604,26.7
21/06/2025,21.6832125,27.17
22/02/2025,31.3392525,28.72
22/03/2025,29.54817104,28.14
22/04/2025,26.16561729,26.58
22/05/2025,23.90510271,27.85
22/06/2025,21.64732813,27.57
23/02/2025,32.29422,27.08
23/03/2025,29.12614313,28.03
23/04/2025,24.6957025,28.12
23/05/2025,23.77641333,27.93
23/06/2025,21.98507688,27.89
24/02/2025,32.46406333,27.03
24/03/2025,29.14482875,26.92
24/04/2025,23.508335,25.85
24/05/2025,24.80267917,27.28
24/06/2025,22.50129208,27.35
25/02/2025,32.47916792,27.47
25/03/2025,29.08329938,26.34
25/04/2025,24.24200354,26.14
25/05/2025,26.33043458,25.49
25/06/2025,22.62888708,25.39
26/02/2025,32.16116542,26.84
26/03/2025,28.74262146,27.41
26/04/2025,25.30290479,27.27
26/05/2025,27.52897479,25.93
26/06/2025,21.90494146,22.04
27/02/2025,31.96265375,20.53
27/03/2025,29.17049,24.05
27/04/2025,25.36320333,24.91
27/05/2025,27.97115208,24.6
27/06/2025,21.29150917,26.69
28/02/2025,32.32116896,25.68
28/03/2025,27.60951625,24.9
28/04/2025,26.07395833,24.82
28/05/2025,25.70427083,23.33
28/06/2025,21.13315146,24.37
29/03/2025,28.13101833,27.23
29/04/2025,25.52875396,27.58
29/05/2025,25.27448646,26.8
29/06/2025,20.9576025,24.88
30/01/2025,-33.99589265,22.68
30/03/2025,28.78152479,24.19
30/04/2025,25.13483,23.16
30/05/2025,24.42185688,23.48
30/06/2025,20.81972896,26.87
31/01/2025,32.01693792,24.87
31/03/2025,28.66082875,25.57
31/05/2025,23.86126271,22.78
Grand,26.41604325,20.8
1/2/2025,31.61963229,19.74
1/3/2025,32.37761375,19.05
1/4/2025,28.22516667,18.39
1/5/2025,25.24177979,20.19
1/6/2025,23.36323979,20.14
1/7/2025,20.34145833,21.44
2/2/2025,32.22642042,20.55
2/3/2025,32.6558175,23.13
2/4/2025,28.62036688,26.53
2/5/2025,25.023235,28.01
2/6/2025,22.95687188,27.09
2/7/2025,19.83546646,23.22
3/2/2025,31.73698688,22.81
3/3/2025,33.04340063,21.95
3/4/2025,28.60887917,20.52
3/5/2025,25.40459771,20.47
3/6/2025,22.70110917,20.34
3/7/2025,19.85499583,21.33
4/2/2025,32.02465104,21.77
4/3/2025,33.23043042,20.54
4/4/2025,28.07250667,21.3
4/5/2025,26.70122938,21.05
4/6/2025,22.81487938,20.34
4/7/2025,19.25639871,18.4
5/2/2025,30.13631479,17.91
5/3/2025,33.33899375,18.39
5/4/2025,28.14128667,18.6
5/5/2025,27.37845896,17.8
5/6/2025,22.73641208,17.27
6/2/2025,30.23675,16.17
6/3/2025,33.74719708,18.53
6/4/2025,28.37722354,18.66
6/5/2025,27.33869688,18.54
6/6/2025,22.69427833,21.22
7/2/2025,29.84571375,19.51
7/3/2025,32.56442313,21.04
7/4/2025,28.38752438,20.23
7/5/2025,26.8789425,20.76
7/6/2025,22.71668042,22.65
8/2/2025,29.96214333,22.82
8/3/2025,30.90878063,20.91
8/4/2025,28.27366917,19.32
8/5/2025,25.81274021,18.87
8/6/2025,22.18687354,19.08
9/2/2025,29.26178396,18.35
9/3/2025,30.80352792,16.72
9/4/2025,27.85197813,17.02
9/5/2025,25.88456417,16.6
9/6/2025,21.44341042,16.69
10/2/2025,29.26004563,18.02
10/3/2025,30.61083,20.71
10/4/2025,27.4436825,21.26
10/5/2025,25.47860313,20.52
10/6/2025,20.90209542,20.47
11/2/2025,29.49765208,18.51
